"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          48,      0.2398568007,       3.551057941,         3.1259243,       6.686694288
          0,           0,          49,      0.1629785573,        3.49373757,       3.063481145,       6.632530693
          0,           0,          50,      0.1348842884,       3.473152739,       3.049065443,       6.616432923
          0,           0,          51,      0.1070718874,       3.448812105,       3.016835335,       6.596431323
          0,           0,          52,     0.09666726104,       3.439635814,       3.015359291,       6.597960402
          0,           0,          53,      0.0715595375,       3.417139757,       2.980941239,       6.579775954
          0,           0,          54,     0.05930978964,        3.40382489,       2.982730116,       6.574403938
          0,           0,          55,     0.03428449869,        3.38076521,       2.949565278,        6.55349495
          0,           0,          56,     0.02218592189,       3.366841984,       2.957630768,       6.546758927
          0,           0,          57,   0.0008942967446,        3.34766609,       2.922625414,       6.530972865
          0,           0,          58,   -0.002678611953,        3.33986011,       2.942855771,       6.532846547
          0,           0,          59,    -0.03162706946,        3.31456076,       2.906321757,       6.506488513
          0,           0,          60,    -0.02978813144,       3.311659938,       2.924334024,        6.51496938
          0,           0,          61,    -0.05706431925,       3.287193929,       2.886813918,       6.489843294
          0,           0,          62,    -0.05055445999,        3.28850655,       2.923147472,       6.501353357
          0,           0,          63,    -0.08373293569,       3.259858164,       2.883189595,       6.470192139
          0,           0,          64,    -0.07093979336,       3.265560807,       2.911254532,       6.488150261
          0,           0,          65,    -0.09932960275,       3.241979101,       2.876795292,        6.46178348
          0,           0,          66,     -0.1026103513,       3.234497249,       2.899918793,        6.46148546
          0,           0,          67,     -0.1207814601,       3.218514636,       2.867206511,       6.446178281
          0,           0,          68,     -0.1067093748,       3.226877152,       2.910426307,       6.462709848
          0,           0,          69,     -0.1457229587,       3.194354092,       2.870174389,       6.426471542
          0,           0,          70,     -0.1244294997,       3.206641626,       2.899872469,       6.449665823
          0,           0,          71,     -0.1535488761,       3.181964977,       2.867791329,       6.421769148
          0,           0,          72,     -0.1460263862,       3.184837899,       2.898589896,       6.432079704
          0,           0,          73,     -0.1675362527,       3.167021311,       2.864730074,       6.413410454
          0,           0,          74,     -0.1517354102,        3.17556543,       2.903110112,       6.428304151
          0,           0,          75,       -0.18409613,       3.148850861,       2.868945234,       6.398716617
          0,           0,          76,     -0.1619247195,        3.16429725,       2.899707346,       6.422420806
          0,           0,          77,     -0.1906989138,       3.139528225,       2.865431136,       6.395911128
          0,           0,          78,     -0.1689801269,       3.154869274,       2.906089194,        6.41681605
          0,           0,          79,     -0.2026265311,       3.126918391,       2.873483773,       6.385782897
          0,           0,          80,     -0.1753500768,       3.147629782,       2.901440743,       6.414342477
